IDMessage;Battery;Value;W/h;amps
0;B4;2.35;;
0;B5;2.24;;
;;;85.21;23.44
0;B0;2.8;;
0;B1;2.79;;
0;B2;2.85;;
0;B3;2.79;;
0;B4;2.83;;
0;B5;2.79;;
;;;85.71;0.89
0;B0;2.76;;
0;B1;2.75;;
0;B2;2.8;;
0;B3;2.75;;
0;B4;2.8;;
0;B5;2.75;;
;;;88.5;2.11
0;B0;2.75;;
0;B1;2.73;;
0;B2;2.79;;
0;B3;2.74;;
0;B4;2.79;;
0;B5;2.74;;
;;;90.56;0.72
0;B0;2.69;;
0;B1;2.67;;
0;B2;2.74;;
0;B3;2.67;;
0;B4;2.75;;
0;B5;2.68;;
;;;96.59;0
0;B0;2.75;;
0;B1;2.74;;
0;B2;2.8;;
0;B3;2.74;;
0;B4;2.82;;
0;B5;2.75;;
;;;96.88;0
0;B0;2.69;;
0;B1;2.66;;
0;B2;2.71;;
0;B3;2.66;;
0;B4;2.73;;
0;B5;2.68;;
;;;104.3;0
0;B0;2.72;;
0;B1;2.7;;
0;B2;2.76;;
0;B3;2.7;;
0;B4;2.76;;
0;B5;2.71;;
;;;104.39;1.61
0;B0;2.35;;
0;B1;2.27;;
0;B2;2.36;;
0;B3;2.25;;
0;B4;2.35;;
0;B5;2.27;;
;;;114.32;17.33
0;B0;2.75;;
0;B1;2.72;;
0;B2;2.78;;
0;B3;2.72;;
0;B4;2.81;;
0;B5;2.73;;
;;;116.4;0.89
0;B0;1.94;;
0;B1;1.79;;
0;B2;1.93;;
0;B3;1.74;;
0;B4;1.92;;
0;B5;1.77;;
;;;119;35.04
0;B0;2.73;;
0;B1;2.69;;
0;B2;2.76;;
0;B3;2.7;;
0;B4;2.76;;
0;B5;2.71;;
;;;123;0
0;B0;2.71;;
0;B1;2.68;;
0;B2;2.74;;
0;B3;2.71;;
0;B4;2.77;;
0;B5;2.7;;
;;;123.32;1.83
0;B0;2.79;;
0;B1;2.77;;
0;B2;2.83;;
0;B3;2.77;;
0;B4;2.83;;
0;B5;2.78;;
;;;123.76;0
0;B0;2.64;;
0;B1;2.59;;
0;B2;2.67;;
0;B3;2.61;;
0;B4;2.66;;
0;B5;2.59;;
;;;124.94;7.22
0;B0;2.23;;
0;B1;2.13;;
0;B2;2.24;;
0;B3;2.11;;
0;B4;2.27;;
0;B5;2.12;;
;;;127.67;24.99
0;B0;2.28;;
0;B1;2.2;;
0;B2;2.3;;
0;B3;2.14;;
0;B4;2.27;;
0;B5;2.21;;
;;;129.77;25.16
0;B0;1.95;;
0;B1;1.81;;
0;B2;1.96;;
0;B3;1.74;;
0;B4;1.93;;
0;B5;1.79;;
;;;132.84;37.04
0;B0;2.19;;
0;B1;2.08;;
0;B2;2.19;;
0;B3;2.05;;
0;B4;2.17;;
0;B5;2.08;;
;;;139.32;23.38
0;B0;2.18;;
0;B1;2.08;;
0;B2;2.19;;
0;B3;2.09;;
0;B4;2.21;;
0;B5;2.07;;
;;;141.16;23.49
0;B0;2.76;;
0;B1;2.73;;
0;B2;2.78;;
0;B3;2.73;;
0;B4;2.79;;
0;B5;2.74;;
;;;142.68;0
0;B0;2.58;;
0;B1;2.53;;
0;B2;2.6;;
0;B3;2.51;;
0;B4;2.62;;
0;B5;2.52;;
;;;142.75;12.44
0;B0;2.44;;
0;B1;2.38;;
0;B2;2.46;;
0;B3;2.35;;
0;B4;2.46;;
0;B5;2.38;;
;;;145.99;13.99
0;B0;2.63;;
0;B1;2.57;;
0;B2;2.66;;
0;B3;2.6;;
0;B4;2.66;;
0;B5;2.58;;
;;;147.03;5.27
0;B0;2.6;;
0;B1;2.55;;
0;B2;2.63;;
0;B3;2.54;;
0;B4;2.62;;
0;B5;2.56;;
;;;149;8.5
0;B0;2.79;;
0;B1;2.77;;
0;B2;2.83;;
0;B3;2.78;;
0;B4;2.85;;
0;B5;2.78;;
;;;149.43;0.89
0;B0;2.81;;
0;B1;2.8;;
0;B2;2.85;;
0;B3;2.79;;
0;B4;2.87;;
0;B5;2.8;;
;;;149.64;0
0;B0;2.53;;
0;B1;2.48;;
0;B2;2.55;;
0;B3;2.45;;
0;B4;2.54;;
0;B5;2.47;;
;;;149.72;15.11
0;B0;2.37;;
0;B1;2.29;;
0;B2;2.38;;
0;B3;2.25;;
0;B4;2.38;;
0;B5;2.29;;
;;;152.05;21.44
0;B0;2.56;;
0;B1;2.45;;
0;B2;2.59;;
0;B3;2.53;;
0;B4;2.53;;
0;B5;2.47;;
;;;154.03;12.05
0;B0;2.8;;
0;B1;2.78;;
0;B2;2.85;;
0;B3;2.8;;
0;B4;2.84;;
0;B5;2.79;;
;;;155.4;0
0;B0;2.78;;
0;B1;2.76;;
0;B2;2.82;;
0;B3;2.76;;
0;B4;2.83;;
0;B5;2.77;;
;;;157.94;1.33
0;B0;2.4;;
0;B1;2.32;;
0;B2;2.43;;
0;B3;2.31;;
0;B4;2.43;;
0;B5;2.33;;
;;;159.75;16.38
0;B0;2.16;;
0;B1;2.04;;
0;B2;2.17;;
0;B3;2;;
0;B4;2.15;;
0;B5;2.02;;
;;;161.82;29.88
0;B0;2.51;;
0;B1;2.46;;
0;B2;2.54;;
0;B3;2.44;;
0;B4;2.54;;
0;B5;2.46;;
;;;163.52;12.77
0;B0;2.1;;
0;B1;1.99;;
0;B2;2.11;;
0;B3;1.95;;
0;B4;2.09;;
0;B5;1.97;;
;;;165.65;31.05
0;B0;2.69;;
0;B1;2.67;;
0;B2;2.72;;
0;B3;2.68;;
0;B4;2.74;;
0;B5;2.68;;
;;;171.57;0
0;B0;2.74;;
0;B1;2.71;;
0;B2;2.76;;
0;B3;2.72;;
0;B4;2.78;;
0;B5;2.72;;
;;;174.7;0.72
0;B0;2.64;;
0;B1;2.63;;
0;B2;2.7;;
0;B3;2.63;;
0;B4;2.69;;
0;B5;2.64;;
;;;174.76;5.77
0;B0;2.28;;
0;B1;2.17;;
0;B2;2.29;;
0;B3;2.15;;
0;B4;2.28;;
0;B5;2.17;;
;;;177.4;23.1
0;B0;2.05;;
0;B1;1.92;;
0;B2;2.05;;
0;B3;1.88;;
0;B4;2.02;;
0;B5;1.91;;
;;;179.48;33.38
0;B0;2.73;;
0;B1;2.71;;
0;B2;2.77;;
0;B3;2.73;;
0;B4;2.78;;
0;B5;2.72;;
;;;183.28;0
0;B0;2.75;;
0;B1;2.74;;
0;B2;2.78;;
0;B3;2.76;;
0;B4;2.8;;
0;B5;2.75;;
;;;183.32;0
0;B0;2.6;;
0;B1;2.55;;
0;B2;2.64;;
0;B3;2.55;;
0;B4;2.63;;
0;B5;2.55;;
;;;187.95;5.44
0;B0;2.74;;
0;B1;2.72;;
0;B2;2.78;;
0;B3;2.72;;
0;B4;2.79;;
0;B5;2.72;;
;;;188.15;0
0;B0;2.79;;
0;B1;2.77;;
0;B2;2.83;;
0;B3;2.77;;
0;B4;2.84;;
0;B5;2.78;;
;;;188.27;0.78
0;B0;2.8;;
0;B1;2.78;;
0;B2;2.85;;
0;B3;2.79;;
0;B4;2.85;;
0;B5;2.8;;
;;;188.29;0
0;B0;2.49;;
0;B1;2.42;;
0;B2;2.52;;
0;B3;2.44;;
0;B4;2.52;;
0;B5;2.43;;
;;;190;13.22
0;B0;2.73;;
0;B1;2.7;;
0;B2;2.78;;
0;B3;2.7;;
0;B4;2.8;;
0;B5;2.71;;
;;;191.6;2.11
0;B0;2.78;;
0;B1;2.76;;
0;B2;2.81;;
0;B3;2.77;;
0;B4;2.83;;
0;B5;2.77;;
;;;192.75;0
0;B0;2.78;;
0;B1;2.75;;
0;B2;2.83;;
0;B3;2.76;;
