IDMessage;Battery;Value;W/h;amps
0;B2;1.99;;
0;B3;1.83;;
0;B4;1.90;;
0;B5;1.86;;
;;;277.13;36.74
0;B0;2.05;;
0;B1;1.99;;
0;B2;2.07;;
0;B3;1.96;;
0;B4;2.01;;
0;B5;1.97;;
;;;281.91;28.30
0;B0;2.10;;
0;B1;2.04;;
0;B2;2.13;;
0;B3;2.01;;
0;B4;2.07;;
0;B5;2.04;;
;;;289.21;23.91
0;B0;2.10;;
0;B1;2.05;;
0;B2;2.12;;
0;B3;2.02;;
0;B4;2.08;;
0;B5;2.03;;
;;;292.00;22.80
0;B0;2.07;;
0;B1;2.00;;
0;B2;2.09;;
0;B3;1.97;;
0;B4;2.03;;
0;B5;1.99;;
;;;303.31;24.30
0;B0;2.65;;
0;B1;2.64;;
0;B2;2.70;;
0;B3;2.64;;
0;B4;2.68;;
0;B5;2.64;;
;;;305.39;0.00
0;B0;2.05;;
0;B1;1.98;;
0;B2;2.07;;
0;B3;1.96;;
0;B4;2.02;;
0;B5;1.99;;
;;;309.68;25.97
0;B0;2.10;;
0;B1;2.05;;
0;B2;2.12;;
0;B3;2.02;;
0;B4;2.07;;
0;B5;2.03;;
;;;313.48;23.14
0;B0;2.01;;
0;B1;1.94;;
0;B2;2.03;;
0;B3;1.90;;
0;B4;1.98;;
0;B5;1.92;;
;;;316.33;26.86
0;B0;2.63;;
0;B1;2.61;;
0;B2;2.67;;
0;B3;2.62;;
0;B4;2.64;;
0;B5;2.61;;
;;;319.47;0.00
0;B0;2.63;;
0;B1;2.61;;
0;B2;2.67;;
0;B3;2.62;;
0;B4;2.65;;
0;B5;2.61;;
;;;323.01;1.14
0;B0;2.20;;
0;B1;2.14;;
0;B2;2.23;;
0;B3;2.12;;
0;B4;2.17;;
0;B5;2.13;;
;;;325.75;20.97
0;B0;2.69;;
0;B1;2.69;;
0;B2;2.74;;
0;B3;2.69;;
0;B4;2.71;;
0;B5;2.68;;
;;;327.00;0.00
0;B0;2.28;;
0;B1;2.23;;
0;B2;2.30;;
0;B3;2.21;;
0;B4;2.28;;
0;B5;2.23;;
;;;329.03;18.30
0;B0;2.73;;
0;B1;2.72;;
0;B2;2.77;;
0;B3;2.73;;
0;B4;2.74;;
0;B5;2.72;;
;;;329.28;0.00
0;B0;2.61;;
